segment,anomaly,Signal_Health,train,channel,sampling,duration,Duration_Category,len,mean,var,Variance_Level,std,kurtosis,skew,n_peaks,Engineering_Priority,Peak_Complexity,smooth10_n_peaks,smooth20_n_peaks,diff_peaks,diff2_peaks,diff_var,diff2_var,gaps_squared,len_weighted,var_div_duration,var_div_len
11,0,Healthy,1,CADC0872,1,229,Medium,230,-4.5195422400000004E-6,4.332306132128366E-10,Low,2.0814192590942283E-5,-1.2642493263381807,-0.23209084249298717,1,Low,Simple,1,1,71,84,5.909420092907242E-13,8.931564543910516E-13,229,230,1.8918367389206838E-12,1.883611361794942E-12
12,0,Healthy,0,CADC0872,1,238,Medium,239,8.207475334476986E-6,6.720664935050506E-10,Low,2.592424528322957E-5,-1.4771013537511233,-0.04423761434892896,1,Low,Simple,1,1,66,76,8.337571557841643E-13,1.0014874344090122E-12,238,239,2.8238087962397084E-12,2.811993696673852E-12
13,1,Anomalous,0,CADC0872,1,229,Medium,230,-1.595561282608696E-6,6.0866030893396E-10,Low,2.4671041910182066E-5,-0.812622692797941,0.38974607048730264,1,High,Simple,1,1,1,1,9.853793080883765E-12,1.919965214696939E-11,229,230,2.6579052791875982E-12,2.646349169278087E-12
14,0,Healthy,1,CADC0872,1,221,Medium,222,6.963036954954955E-6,6.600910775784002E-10,Low,2.569223769114711E-5,-1.3099544300386137,-0.16176704299634542,1,Low,Simple,1,1,67,77,8.710885684176065E-13,1.0171315610337586E-12,221,222,2.9868374551058834E-12,2.9733832323351362E-12
15,1,Anomalous,1,CADC0872,1,200,Medium,201,-7.767890676616916E-6,1.4598433919622125E-10,Low,1.2082397907543902E-5,-1.3764193585466062,-0.14665425077536115,8,High,Complex,2,1,21,32,4.0355165314199206E-12,9.654801934071314E-12,200,201,7.299216959811063E-13,7.262902447573197E-13
16,0,Healthy,1,CADC0872,1,249,Medium,250,2.560307673600001E-6,5.613340482840469E-10,Low,2.369248928002389E-5,-1.4583843794155233,-0.039400728337475585,1,Low,Simple,1,1,67,66,2.09028752873673E-12,4.507630022842565E-12,249,250,2.2543536075664533E-12,2.2453361931361878E-12
17,0,Healthy,1,CADC0872,1,238,Medium,239,2.181008912133891E-6,3.4062737476365075E-10,Low,1.845609316089542E-5,-1.0120805740067558,-0.363082320020136,1,Low,Simple,1,1,54,64,1.6851626846655491E-12,3.865913626402384E-12,238,239,1.4312074569901292E-12,1.4252191412705053E-12
18,0,Healthy,0,CADC0872,1,213,Medium,214,-1.104237738317757E-6,2.435482513359998E-10,Low,1.5606032530274945E-5,-1.0863347541610358,-0.32154068489461285,1,Low,Simple,1,1,47,51,1.55413085868417E-12,3.651738322983825E-12,213,214,1.1434190203568064E-12,1.138075940822429E-12
19,1,Anomalous,1,CADC0872,1,202,Medium,203,-5.584398348768473E-6,1.9262978945958084E-10,Low,1.387911342484025E-5,-1.2649221065817802,-0.14684415535097922,2,High,Moderate,1,1,29,40,2.3599440551902203E-12,5.479548364194244E-12,202,203,9.536128191068358E-13,9.489152190127135E-13
20,1,Anomalous,0,CADC0872,1,267,Medium,268,3.992460474626865E-6,5.382671391492646E-10,Low,2.3200584888085574E-5,-1.02966075201578,-0.31204672553459334,1,High,Simple,1,1,18,19,5.083800741327838E-12,1.029699471866654E-11,267,268,2.015981794566534E-12,2.0084594744375546E-12
21,1,Anomalous,0,CADC0872,1,281,Medium,282,5.2895249343971635E-6,4.2267670560076084E-10,Low,2.0559102743085867E-5,-0.6099811249142237,-0.5351140290160574,3,High,Moderate,2,1,1,2,2.2744860842710054E-11,6.684322749233181E-11,281,282,1.504187564415519E-12,1.4988535659601448E-12
22,1,Anomalous,1,CADC0872,1,183,Medium,184,-5.040148853641304E-6,2.2957973930255104E-10,Low,1.5151888968130378E-5,0.5374727443578138,-1.5093964027183435,6,High,Complex,1,1,14,15,7.517321168711943E-12,1.5725877456716946E-11,183,184,1.2545340945494592E-12,1.247715974470386E-12
23,0,Healthy,1,CADC0872,1,243,Medium,244,2.346611106557377E-6,8.908867435407416E-10,Low,2.9847725935835408E-5,-1.4878089313826552,0.0022501749039919904,1,Low,Simple,1,1,47,53,3.0884833911403045E-12,6.299152873774194E-12,243,244,3.66620059070264E-12,3.651175178445663E-12
24,1,Anomalous,1,CADC0872,1,201,Medium,202,-8.968957113861387E-6,4.0564902046655837E-10,Low,2.0140730385627986E-5,-1.3019901857550655,-0.1811360840432008,1,High,Simple,1,1,12,13,6.703092841414196E-12,1.307913476781837E-11,201,202,2.018154330679395E-12,2.0081634676562297E-12
25,0,Healthy,1,CADC0872,1,208,Medium,209,9.865551913875601E-7,6.941012221737458E-10,Low,2.6345800845177316E-5,-1.4755890643097807,-0.03125511477943608,1,Low,Simple,1,1,50,61,2.0925472008710955E-12,3.5713367078921037E-12,208,209,3.3370251066045472E-12,3.321058479300219E-12
26,0,Healthy,1,CADC0872,1,210,Medium,211,2.9755845450236967E-6,8.370861073143552E-10,Low,2.8932440396799493E-5,-1.4931356400078037,-0.009346340254696151,1,Low,Simple,1,1,42,53,2.4948722929977206E-12,4.6213119870821835E-12,210,211,3.986124320544548E-12,3.9672327360869916E-12
27,0,Healthy,1,CADC0872,1,202,Medium,203,7.010657576354678E-6,5.013480960466014E-10,Low,2.2390803827611936E-5,-0.8336900319426253,-0.47895679579264056,2,Low,Moderate,1,1,36,38,3.2894368618308617E-12,7.773531738830662E-12,202,203,2.4819212675574327E-12,2.4696950544167554E-12
28,0,Healthy,0,CADC0872,1,181,Medium,182,-4.743231538461536E-7,2.2825209786002245E-10,Low,1.5108014358611871E-5,-0.7797241551683598,-0.6228378324931242,1,Low,Simple,1,1,38,47,1.214893538327048E-12,2.8585815049019E-12,181,182,1.2610613141437705E-12,1.2541324058242993E-12
29,1,Anomalous,1,CADC0872,1,225,Medium,226,2.5735809424778764E-6,3.9915988314566786E-10,Low,1.997898603897775E-5,-1.2579965834416333,-0.18486716802377479,4,High,Complex,2,1,13,27,6.237984693873817E-12,1.373772180159846E-11,225,226,1.7740439250918573E-12,1.7661941732109198E-12
30,0,Healthy,0,CADC0872,1,194,Medium,195,-2.1828606729743593E-6,1.2341850460009111E-10,Low,1.110938812896962E-5,-0.8880815455825006,-0.3856325215567748,3,Low,Moderate,1,1,45,48,2.4016605624366516E-12,6.975553311374877E-12,194,195,6.361778587633563E-13,6.329154082055955E-13
31,1,Anomalous,0,CADC0872,1,198,Medium,199,3.98613059798995E-6,1.4249355135748187E-10,Low,1.1937066279345267E-5,-1.0926725484230801,0.3714784956999048,1,High,Simple,1,1,19,16,3.387310865985416E-12,7.2592680030265215E-12,198,199,7.19664400795363E-13,7.160479967712657E-13
32,0,Healthy,1,CADC0872,1,202,Medium,203,6.426002753694582E-7,2.2883340565612095E-10,Low,1.5127240516899338E-5,-1.2901575129495155,-0.1535840082192607,1,Low,Simple,1,1,55,61,1.886357072614889E-12,5.296148517595596E-12,202,203,1.132838641861985E-12,1.1272581559414826E-12
33,0,Healthy,1,CADC0872,1,229,Medium,230,2.1019733434782606E-6,3.645476299717419E-10,Low,1.909313043928999E-5,-1.4942384421491517,0.01984429701803154,1,Low,Simple,1,1,64,64,2.3320675067498907E-12,6.430783995253762E-12,229,230,1.5919110479115366E-12,1.5849896955293127E-12
34,0,Healthy,1,CADC0872,1,185,Medium,186,-7.543538026881721E-6,8.74672338339674E-11,Low,9.352391877694572E-6,-1.1978992609144303,-0.2081805538291964,3,Low,Moderate,1,1,41,44,1.5755302193307805E-12,4.361466225010511E-12,185,186,4.72795858561986E-13,4.702539453439108E-13
35,0,Healthy,0,CADC0872,1,226,Medium,227,6.124206829515419E-6,6.458078624865879E-10,Low,2.5412749998506418E-5,-1.1283898004965605,-0.2607257972634032,1,Low,Simple,1,1,57,73,1.8920363921852593E-12,4.395055610008221E-12,226,227,2.8575569136574684E-12,2.8449685572096385E-12
36,0,Healthy,1,CADC0872,1,213,Medium,214,3.7435944813084117E-6,6.407314864300141E-10,Low,2.531267442270797E-5,-1.1666609687637206,-0.2631781676284668,1,Low,Simple,1,1,51,59,1.5349787323895149E-12,3.1348538200671495E-12,213,214,3.008129044272367E-12,2.994072366495393E-12
37,0,Healthy,1,CADC0872,1,192,Medium,193,6.116210595854922E-6,7.083659690789163E-10,Low,2.661514548295606E-5,-1.153059937909473,-0.2862722087532431,1,Low,Simple,1,1,31,38,1.7912677071097191E-12,3.085998146989425E-12,192,193,3.689406088952689E-12,3.670289995227546E-12
38,0,Healthy,1,CADC0872,1,196,Medium,197,1.7975299492386502E-8,7.739083804899865E-10,Low,2.781920884011597E-5,-1.4850694590849882,-0.06662274596068067,1,Low,Simple,1,1,44,55,1.4800673793906628E-12,2.0558430662942246E-12,196,197,3.948512145357074E-12,3.928468936497393E-12
39,0,Healthy,1,CADC0872,1,201,Medium,202,-4.013059732673268E-6,7.030623892734439E-10,Low,2.6515323669030403E-5,-1.5032768274517874,0.04228171716515379,1,Low,Simple,1,1,53,63,2.0956523023503574E-12,4.6192610552516E-12,201,202,3.4978228322061884E-12,3.4805068775913063E-12
40,0,Healthy,1,CADC0872,1,181,Medium,182,-5.13265655E-6,3.017189325157163E-10,Low,1.737005850639877E-5,-1.0719674877397287,-0.27043835214809564,2,Low,Moderate,1,1,41,48,4.688929118648005E-12,1.2691291607019425E-11,181,182,1.666955428263626E-12,1.6577963325039357E-12
41,0,Healthy,1,CADC0872,1,199,Medium,200,4.0690412199999995E-6,4.445181129861796E-10,Low,2.108359819827203E-5,-1.4026988422537556,-0.12003162821876029,1,Low,Simple,1,1,34,40,2.5415260430275344E-12,6.3915221871309396E-12,199,200,2.233759361739596E-12,2.222590564930898E-12
42,0,Healthy,0,CADC0872,1,192,Medium,193,4.740144067357513E-6,2.733656242027504E-10,Low,1.653377223148881E-5,-0.7344110338603698,-0.5283865011298791,2,Low,Moderate,1,1,43,54,2.5763674947990272E-12,6.9194882920046134E-12,192,193,1.4237792927226585E-12,1.416402197941712E-12
43,0,Healthy,0,CADC0872,1,173,Short,174,-2.7021560402298847E-6,1.2020044668510905E-10,Low,1.0963596430237162E-5,-0.5898995336961526,-0.6651712810061887,2,Low,Moderate,1,1,47,58,2.578690700465817E-12,7.280366690347954E-12,173,174,6.948002698561217E-13,6.908071648569486E-13
44,0,Healthy,1,CADC0872,1,205,Medium,206,7.183812135922328E-7,3.1104888852690237E-10,Low,1.7636578141093652E-5,-1.4721426388551364,-0.01508037846116942,2,Low,Moderate,1,1,34,41,2.7770370187511977E-12,7.85309143882054E-12,205,206,1.5173116513507432E-12,1.5099460608102057E-12
45,0,Healthy,1,CADC0872,1,195,Medium,196,-1.3124625000000007E-7,2.438485665346287E-10,Low,1.561565133238536E-5,-1.4229913972403705,-0.062029950077498355,2,Low,Moderate,1,1,41,36,2.3971462657617682E-12,6.253709589544623E-12,195,196,1.2505054694083523E-12,1.2441253394623913E-12
46,0,Healthy,1,CADC0872,1,185,Medium,186,6.967145411827957E-6,2.381975576914971E-10,Low,1.543365017393802E-5,-1.429684555894081,-0.10219049569098325,3,Low,Moderate,1,1,40,52,2.3558835814535306E-12,4.935010106102847E-12,185,186,1.2875543658999843E-12,1.2806320305994468E-12
47,0,Healthy,1,CADC0872,1,184,Medium,185,-3.4006216E-6,2.0932254182656862E-10,Low,1.4467983336545858E-5,-0.9771111583624026,-0.37654862490784563,1,Low,Simple,1,1,44,53,9.644726418815068E-13,1.856168658358875E-12,184,185,1.1376225099270034E-12,1.131473199062533E-12
48,0,Healthy,1,CADC0872,1,233,Medium,234,-1.4488028452991454E-6,6.032890044128559E-10,Low,2.4561942195454656E-5,-1.4895453009880302,0.015771578736965716,1,Low,Simple,1,1,55,63,1.6012962324056471E-12,3.132799937927992E-12,233,234,2.5892231949049612E-12,2.5781581385164783E-12
49,0,Healthy,1,CADC0872,1,185,Medium,186,-6.523637596774194E-6,2.5008550452398304E-10,Low,1.5814091960146906E-5,-0.6905052180708902,-0.7442022222449438,2,Low,Moderate,1,1,27,35,1.8235065788138158E-12,4.373566220842752E-12,185,186,1.3518135379674759E-12,1.3445457232472206E-12
50,0,Healthy,0,CADC0872,1,197,Medium,198,5.0880126373737374E-6,5.857931368347817E-10,Low,2.4203163777382117E-5,-0.730640219116145,-0.5972663331352035,1,Low,Simple,1,1,43,52,2.053498038814643E-12,3.842948188419347E-12,197,198,2.9735692225115824E-12,2.958551196135261E-12
51,1,Anomalous,1,CADC0872,1,206,Medium,207,3.2513048792270545E-6,8.375966271520162E-10,Low,2.894126167173809E-5,-1.3118048273573302,-0.09882215582433677,1,High,Simple,1,1,18,26,5.0025939564604206E-12,1.0248304736342441E-11,206,207,4.066003044427263E-12,4.04636051764259E-12
52,1,Anomalous,1,CADC0872,1,166,Short,167,-1.8754152574850304E-6,5.697570098170464E-10,Low,2.3869583360776248E-5,-1.2205775116636852,-0.29476995273179046,1,High,Simple,1,1,33,43,2.505382759431736E-12,5.010278248138061E-12,166,167,3.432271143476183E-12,3.4117186216589605E-12
53,0,Healthy,1,CADC0872,1,193,Medium,194,-3.7372765567010306E-6,8.166443576989557E-10,Low,2.857699000417916E-5,-1.4758693751638186,-0.01648479320844146,1,Low,Simple,1,1,45,62,3.1669332527812304E-12,6.061745467709311E-12,193,194,4.23131791553863E-12,4.209506998448225E-12
54,0,Healthy,0,CADC0872,1,180,Medium,181,2.0111364640883993E-7,7.727336865109864E-10,Low,2.779808782112515E-5,-1.4546530767234753,-0.07037084188902597,1,Low,Simple,1,1,39,42,2.504851863701707E-12,4.1362745383274115E-12,180,181,4.292964925061036E-12,4.2692468868010296E-12
55,0,Healthy,1,CADC0872,1,173,Short,174,3.601382387931034E-6,5.119306924574624E-10,Low,2.2625885451346702E-5,-1.0730512326690211,-0.34336411132624084,1,Low,Simple,1,1,45,50,2.5160701738773417E-12,5.5222220290121546E-12,173,174,2.95913695062117E-12,2.9421304164221976E-12
56,0,Healthy,1,CADC0872,1,190,Medium,191,4.68003470157068E-6,4.4151578223804474E-10,Low,2.1012276940827826E-5,-1.217343212252034,-0.19064202963958785,1,Low,Simple,1,1,29,45,2.6514477129924967E-12,5.423697489754469E-12,190,191,2.3237672749370777E-12,2.3116009541258886E-12
57,1,Anomalous,1,CADC0872,1,190,Medium,191,3.6320329267015706E-6,3.969025581867572E-10,Low,1.9922413462900453E-5,-1.2363885717823313,-0.21326218063192928,2,High,Moderate,1,1,16,29,4.264999474465775E-12,8.612306281625527E-12,190,191,2.08896083256188E-12,2.078023864852132E-12
58,0,Healthy,1,CADC0872,1,158,Short,159,-4.3134840754716985E-6,9.74329108007339E-11,Low,9.870811050807015E-6,-1.3936797186758496,0.004302102627925181,2,Low,Moderate,1,1,28,36,2.0130440020890228E-12,4.249245681800116E-12,158,159,6.166639924097082E-13,6.12785602520339E-13
59,1,Anomalous,1,CADC0872,1,194,Medium,195,2.892919692307692E-6,2.1281915687004408E-10,Low,1.45883226201659E-5,-1.3743775799641456,-0.06971694706498603,2,High,Moderate,2,1,4,15,3.111372416656651E-12,6.166965234303396E-12,194,195,1.0970059632476498E-12,1.0913802916412518E-12
60,1,Anomalous,1,CADC0872,1,192,Medium,193,2.5781327461139894E-6,2.5457916237267494E-10,Low,1.5955537044320224E-5,-1.5101903294501007,-0.028232370272400886,1,High,Simple,1,1,27,26,1.3298934947435105E-12,2.4942697544929287E-12,192,193,1.3259331373576819E-12,1.3190630174749996E-12
61,0,Healthy,0,CADC0872,1,184,Medium,185,3.0330285837837838E-6,2.7959955150217546E-10,Low,1.6721230561838906E-5,-1.4817374727215182,-0.057013853409086955,1,Low,Simple,1,1,51,57,6.821750112247423E-13,1.0305709339668388E-12,184,185,1.5195627799031274E-12,1.5113489270387863E-12
62,1,Anomalous,1,CADC0872,1,172,Short,173,-4.602417971098265E-6,1.826959384450882E-10,Low,1.3516506147858188E-5,-1.2990520296010797,-0.10252381309968885,2,High,Moderate,2,1,1,5,4.238231915108686E-12,6.898922805017506E-12,172,173,1.0621856886342337E-12,1.0560458869658277E-12
63,0,Healthy,0,CADC0872,1,207,Medium,208,7.758007211538466E-7,6.311851535680608E-10,Low,2.512339852742978E-5,-1.4288886955001552,-0.03520664609585253,1,Low,Simple,1,1,58,71,8.404117628554484E-13,8.262101578803194E-13,207,208,3.0492036404254144E-12,3.034544007538754E-12
64,0,Healthy,0,CADC0872,1,185,Medium,186,2.298144392473119E-6,4.828665429025704E-10,Low,2.197422451197244E-5,-1.0283408368296691,-0.36938120144458325,1,Low,Simple,1,1,54,64,7.461330539423792E-13,8.041403402180727E-13,185,186,2.6100894210949747E-12,2.5960566822718835E-12
65,0,Healthy,1,CADC0872,1,189,Medium,190,7.0171540421052645E-6,7.616527140263473E-10,Low,2.759805634508248E-5,-1.0739005137153346,-0.3149010869319039,1,Low,Simple,1,1,58,68,1.0784858541917028E-12,1.1094434853895175E-12,189,190,4.029908539821943E-12,4.008698494875512E-12
66,0,Healthy,0,CADC0872,1,195,Medium,196,3.7591720612244905E-6,9.645156750499034E-10,Low,3.1056652669756655E-5,-1.495399910264106,-0.050040573236507874,1,Low,Simple,1,1,54,67,1.2326429790891474E-12,7.096333049216229E-13,195,196,4.946234231025145E-12,4.9209983420913435E-12
67,0,Healthy,1,CADC0872,1,179,Medium,180,-3.84912996111111E-6,6.640561139815299E-10,Low,2.5769286252853994E-5,-1.4956430025912675,-0.003686754541002409,1,Low,Simple,1,1,48,56,1.086661011723246E-12,7.683594323691487E-13,179,180,3.709810692634245E-12,3.689200633230721E-12
68,0,Healthy,1,CADC0872,1,184,Medium,185,-5.100298848648649E-6,5.188734516159004E-10,Low,2.2778793901695067E-5,-1.416096102682555,-0.06422845657799196,1,Low,Simple,1,1,53,59,8.803084129211662E-13,8.900904496353863E-13,184,185,2.8199644109559803E-12,2.804721360085948E-12
69,0,Healthy,1,CADC0872,1,184,Medium,185,2.671946816216216E-6,4.927733588189809E-10,Low,2.2198499021757774E-5,-1.4689595707856722,-0.05618367881342659,1,Low,Simple,1,1,58,67,8.981383545909286E-13,1.0637560706832995E-12,184,185,2.6781160805379395E-12,2.663639777399897E-12
70,0,Healthy,1,CADC0872,1,171,Short,172,3.182576854651162E-6,2.6726509355641103E-10,Low,1.6348244357006993E-5,-1.0258049602082415,-0.4235697550629071,1,Low,Simple,1,1,52,60,5.422247932519427E-13,7.784233211330322E-13,171,172,1.5629537634877838E-12,1.5538668230023896E-12
71,1,Anomalous,1,CADC0872,1,182,Medium,183,2.8933920103825134E-6,1.7731739285995887E-10,Low,1.3316057707142864E-5,-1.1040904271965803,-0.2735371710611026,1,High,Simple,1,1,44,52,5.436368282674421E-13,9.315069785279786E-13,182,183,9.742713893404333E-13,9.689475019669884E-13
72,0,Healthy,0,CADC0872,1,187,Medium,188,1.5482294946808513E-6,2.3533914099406087E-10,Low,1.5340767288309307E-5,-1.4463689695446549,-0.012974506391385397,1,Low,Simple,1,1,61,65,5.548524560768718E-13,8.476325002096805E-13,187,188,1.2584980801821436E-12,1.2518039414577707E-12
73,0,Healthy,1,CADC0872,1,162,Short,163,-4.1057247484662585E-6,9.305489476574433E-11,Low,9.646496502137153E-6,-1.4643084778714672,-0.025162626291475542,1,Low,Simple,1,1,48,55,3.9829594881921E-13,6.973088195415397E-13,162,163,5.744129306527428E-13,5.708889249432167E-13
74,1,Anomalous,1,CADC0872,1,190,Medium,191,5.308426963350783E-7,2.1922667955327403E-10,Low,1.4806305398487295E-5,-1.2258996184457776,0.10341480495376758,1,High,Simple,1,1,13,16,2.3301479842640575E-12,3.773585642967591E-12,190,191,1.153824629227758E-12,1.1477836625825865E-12
75,0,Healthy,0,CADC0872,1,188,Medium,189,2.738583562962963E-6,2.4363128236749434E-10,Low,1.5608692525881032E-5,-1.4228862421816684,-0.07848381111238391,1,Low,Simple,1,1,54,61,6.157478321882545E-13,9.692337487614106E-13,188,189,1.2959110764228422E-12,1.2890544040608166E-12
76,0,Healthy,1,CADC0872,1,180,Medium,181,3.495366430939227E-6,2.5872416831627094E-10,Low,1.6084904983128465E-5,-1.4225883367707646,-0.07730366543877959,1,Low,Simple,1,1,31,34,3.1433002442956953E-12,8.166129331452272E-12,180,181,1.4373564906459497E-12,1.429415294565033E-12
77,0,Healthy,1,CADC0872,1,180,Medium,181,-6.273053140331491E-6,2.109371866205068E-10,Low,1.4523676759708845E-5,-1.3798790827668337,0.017900795626778872,11,High,Complex,1,1,31,44,5.328779836742249E-12,1.5160421130533637E-11,180,181,1.1718732590028157E-12,1.1653988211077725E-12
78,0,Healthy,1,CADC0872,1,198,Medium,199,-1.0495236432160806E-6,5.339947695131566E-10,Low,2.3108326843654358E-5,-1.3874609017024164,-0.10418896611294745,1,Low,Simple,1,1,41,55,3.913336729971621E-12,9.945435765051949E-12,198,199,2.696943280369478E-12,2.6833908015736513E-12
79,0,Healthy,1,CADC0872,1,182,Medium,183,1.7816113224043727E-6,4.034177597538902E-10,Low,2.008526225255449E-5,-0.8338558517755952,-0.44878871673732756,1,Low,Simple,1,1,26,37,3.608294754294674E-12,9.701650285892871E-12,182,183,2.216581097548847E-12,2.204468632534919E-12
80,1,Anomalous,1,CADC0872,1,177,Medium,178,6.674827876404496E-7,5.137744458321065E-10,Low,2.2666593167745932E-5,0.4634700531724163,-0.8369032610276442,2,High,Moderate,1,1,2,2,6.962235263410451E-11,2.020517843314645E-10,177,178,2.9026804849271555E-12,2.8863732911916096E-12
81,1,Anomalous,0,CADC0872,1,181,Medium,182,2.7613645109890102E-6,8.387918034430806E-10,Low,2.8961902621255404E-5,-1.4544127293462146,-0.13217863367008856,1,High,Simple,1,1,30,43,3.2987976919972282E-12,6.519578720607465E-12,181,182,4.63420885880155E-12,4.608746172764179E-12
82,1,Anomalous,1,CADC0872,1,165,Short,166,-7.583311739759037E-6,4.306874220481652E-10,Low,2.0753009951526676E-5,-1.4463011708546298,0.02019903598823621,2,High,Moderate,1,1,9,26,4.210050502464988E-12,9.279822016730595E-12,165,166,2.6102268002919104E-12,2.5945025424588264E-12
83,0,Healthy,1,CADC0872,1,184,Medium,185,6.311814000000076E-8,7.821093261316576E-10,Low,2.7966217587147132E-5,-1.4898144084296108,-0.016411185042013953,1,Low,Simple,1,1,47,58,1.477979682258526E-12,1.4723699328012557E-12,184,185,4.2505941637590084E-12,4.2276179790900415E-12
84,0,Healthy,1,CADC0872,1,177,Medium,178,2.7145980494382026E-6,7.429013812823033E-10,Low,2.725621729591807E-5,-1.4306010913298026,-0.06102397542016246,1,Low,Simple,1,1,43,56,1.427421743962808E-12,1.4108920922930563E-12,177,178,4.197182945097758E-12,4.173603265630917E-12
85,0,Healthy,1,CADC0872,1,173,Short,174,7.936907586206898E-6,5.965982205763822E-10,Low,2.4425360193380612E-5,-1.4700929404093162,-0.032584429058581124,1,Low,Simple,1,1,45,56,1.0256166462561637E-12,7.324357024993022E-13,173,174,3.4485446276091454E-12,3.4287254056113916E-12
86,0,Healthy,0,CADC0872,1,176,Medium,177,3.284200141242938E-6,5.25711357488014E-10,Low,2.2928396313044093E-5,-1.4530862609027564,-0.04251186694047595,1,Low,Simple,1,1,51,64,1.0281426797197442E-12,1.0634296544059628E-12,176,177,2.986996349363716E-12,2.9701206637740902E-12
87,0,Healthy,0,CADC0872,1,177,Medium,178,2.208765617977528E-7,5.141055765632126E-10,Low,2.267389636924392E-5,-1.4957787948396222,0.015209388762065353,1,Low,Simple,1,1,54,62,9.687954173582148E-13,1.017118662657163E-12,177,178,2.9045512800181503E-12,2.8882335761978235E-12
88,0,Healthy,1,CADC0872,1,161,Short,162,-3.433459209876543E-6,2.174100899063962E-10,Low,1.4744832651013581E-5,-1.3995810314278638,-0.09512580029999125,1,Low,Simple,1,1,41,51,6.194370348541968E-13,8.185023715281874E-13,161,162,1.3503732292322745E-12,1.3420375920147914E-12
89,0,Healthy,1,CADC0872,1,180,Medium,181,3.0945816270718224E-6,2.778229699351285E-10,Low,1.6668022376248732E-5,-1.50866547228592,-0.013380378368109756,1,Low,Simple,1,1,58,63,7.235222004563904E-13,1.1707568306613525E-12,180,181,1.5434609440840472E-12,1.5349335355531961E-12
90,1,Anomalous,1,CADC0872,1,178,Medium,179,4.10232853631285E-6,2.429536738482512E-10,Low,1.5586971285283464E-5,-1.4390862605150303,-0.11612296776401954,1,High,Simple,1,1,32,34,8.785147431729979E-13,1.5524453321279176E-12,178,179,1.364908280046355E-12,1.3572830941243083E-12
